zillow_addresses_clearwater,current_price_clearwater
"Newell Plan, Aspen Trail",225000
"385 S McMullen Booth Rd APT 62, Clearwater, FL 33759",242999
"1475 Byram Dr, Clearwater, FL 33755",449999
"1345 Drew St APT 7, Clearwater, FL 33755",189999
"2587 Countryside Blvd #6208, Clearwater, FL 33761",410000
"1860 N Fort Harrison Ave APT 104, Clearwater, FL 33755",169000
"1537 Tilley Ave, Clearwater, FL 33756",175000
"1715 N Washington Ave, Clearwater, FL 33755",2195000
"820 Druid Rd S, Clearwater, FL 33756",839995
"29141 Us Highway 19 N #130, Clearwater, FL 33761",257000
"111 David Ave, Clearwater, FL 33759",525000
"2331 Finlandia Ln APT 57, Clearwater, FL 33763",129000
"2293 Swedish Dr APT 45, Clearwater, FL 33763",196000
"1270 Gulf Blvd APT 507, Clearwater, FL 33767",849900
"800 S Gulfview Blvd APT 906, Clearwater, FL 33767",349000
"800 Druid Rd S, Clearwater, FL 33756",284500
"2666 Sabal Springs Cir APT 201, Clearwater, FL 33761",6495000
"2351 Irish Ln APT 31, Clearwater, FL 33763",72900
"1180 Gulf Blvd APT 901, Clearwater, FL 33767",361000
"2361 Ecuadorian Way APT 23, Clearwater, FL 33763",180000
"29081 Us Highway 19 N LOT 292, Clearwater, FL 33761",265000
"2254 Norwegian Dr APT 40, Clearwater, FL 33763",825000
"176 Brightwater Dr #1, Clearwater, FL 33767",650000
"10 Papaya St APT 505, Clearwater, FL 33767",5995000
"29081 Us Highway 19 N LOT 371, Clearwater, FL 33761",329900
"483 E Shore Dr #D4, Clearwater, FL 33767",168000
"2430 Florentine Way APT 50, Clearwater, FL 33763",2098000
"2370 Jamaican St APT 52, Clearwater, FL 33763",26500
"1280 Lakeview Rd LOT 222, Clearwater, FL 33756",159000
"2725 Via Cipriani UNIT 735B, Clearwater, FL 33764",350000
"3055 Casa Del Sol Cir APT 307, Clearwater, FL 33761",592000
"2675 Firestone Dr, Clearwater, FL 33761",575000
"1554 Tilley Ave, Clearwater, FL 33756",369900
"2435 Sumatran Way APT 57, Clearwater, FL 33763",165000
"1230 Gulf Blvd APT 1704, Clearwater, FL 33767",249900
"2020 World Parkway Blvd APT 18, Clearwater, FL 33763",859000
"2421 Old Coach Trl, Clearwater, FL 33765",362000
"2222 Norwegian Dr APT 46, Clearwater, FL 33763",220000
"29081 Us Highway 19 N LOT 257, Clearwater, FL 33761",512000
"29081 Us Highway 19 N UNIT 35, Clearwater, FL 33761",178800
"2331 Finlandia Ln APT 15, Clearwater, FL 33763",425000
"1560 Gulf Blvd APT 1607, Clearwater, FL 33767",850000
"2400 Franciscan Dr APT 52, Clearwater, FL 33763",127000
"2371 Israeli Dr APT 61, Clearwater, FL 33763",57000
"2458 Columbia Dr APT 24, Clearwater, FL 33763",319999
"602 Brigadoon Dr, Clearwater, FL 33759",269900
"2580 Nursery Rd LOT 326, Clearwater, FL 33764",45000
"Willet Plan, Aspen Trail",294000
"2436 Rhodesian Dr APT 22, Clearwater, FL 33763",2649000
"2284 Spanish Dr APT 56, Clearwater, FL 33763",1899900
"1609 Miller Ave, Clearwater, FL 33756",87000
"1020 Mandalay Ave, Clearwater, FL 33767",339000
"2550 State Road 580 LOT 433, Clearwater, FL 33761",165000
"2360 Irish Ln APT 54, Clearwater, FL 33763",129500
"11 San Marco St APT 706, Clearwater, FL 33767",38000
"521 Mandalay Ave APT 810, Clearwater, FL 33767",529000
"1280 Lakeview Rd #137, Clearwater, FL 33756",260000
"1280 Lakeview Rd #108, Clearwater, FL 33756",715000
"2453 Brazilia Dr APT 49, Clearwater, FL 33763",285000
"2257 World Parkway Blvd W APT 63, Clearwater, FL 33763",189000
"2361 Jamaican St APT 41, Clearwater, FL 33763",648000
"2416 World Parkway Blvd APT 50, Clearwater, FL 33763",200000
"1001 Pinellas St, Clearwater, FL 33756",620000
"15 Avalon St #801, Clearwater Beach, FL 33767",267900
"331 Cleveland St APT 104, Clearwater, FL 33755",59000
"2257 World Parkway Blvd W APT 41, Clearwater, FL 33763",52900
"2462 Brazilia Dr APT 24, Clearwater, FL 33763",188000
"24 Avalon St #306, Clearwater Beach, FL 33767",2050000
"1200 Gulf Blvd APT 1001, Clearwater, FL 33767",142900
"1006-1017 Vine Ave, Clearwater, FL 33755",215000
"415 Island Way #203, Clearwater Beach, FL 33767",144900
"701 S Madison Ave APT 413, Clearwater, FL 33756",309500
"701 S Madison Ave APT 211, Clearwater, FL 33756",34500
"Standard Residences Plan, Serena by the Sea",849995
"15 Avalon St #503, Clearwater Beach, FL 33767",224000
"616 Wildwood Way, Clearwater, FL 33756",769995
"1600 N Old Coachman Rd LOT 808, Clearwater, FL 33765",195000
"2550 State Route 580 #234, Clearwater, FL 33761",289000
"164th Ave N, Clearwater, FL 33762",2400000
"11 Baymont St APT 403, Clearwater, FL 33767",33500
"1180 Gulf Blvd APT 1505, Clearwater, FL 33767",182500
"1180 Gulf Blvd APT 2201, Clearwater, FL 33767",399900
"Lancaster Dr, Clearwater, FL 33764",1500000
"1180 Gulf Blvd APT 305, Clearwater, FL 33767",2200000
"2433 Gulf To Bay Blvd, Clearwater, FL 33765",40000
"415 Island Way #204, Clearwater Beach, FL 33767",25000
"Belle Haven Dr, Clearwater, FL 33763",188400
"Woodlawn Ter, Clearwater, FL 33755",165000
"880 Mandalay Ave APT S302, Clearwater, FL 33767",169000
"900 Osceola Ave N #703, Clearwater, FL 33755",195000
"27466 Us Highway 19 N LOT 69, Clearwater, FL 33761",159900
"125 Island Way #403, Clearwater Beach, FL 33767",2795000
"Pelican Plan, Aspen Trail",1150000
"112 Kenwood Ave, Clearwater, FL 33755",230000
"1103 Belleair Rd, Clearwater, FL 33756",174900
"1208 N Fort Harrison Ave, Clearwater, FL 33755",1200000
"2131 NE Coachman Rd, Clearwater, FL 33765",1600000
"1100 S Myrtle Ave, Clearwater, FL 33756",2199000
"1512 S Missouri Ave, Clearwater, FL 33756",976200
"2003 Greenbriar Blvd APT 15, Clearwater, FL 33763",155000
"24862 Us Highway 19 N APT 1902, Clearwater, FL 33763",122900
"2001 Greenbriar Blvd APT 18, Clearwater, FL 33763",1720000
"1584 S Madison Ave, Clearwater, FL 33756",2100000
"2625 State Road 590 APT 2721, Clearwater, FL 33759",119600
"1284 Calusa Cir, Clearwater, FL 33755",47900
"2730 Via Tivoli UNIT 331B, Clearwater, FL 33764",63000
"2773 Via Cipriani UNIT 1335B, Clearwater, FL 33764",189000
"517 Virginia Ln, Clearwater, FL 33764",1550000
"2463 Gulf To Bay Blvd #279, Clearwater, FL 33765",1699000
"1330 Parkwood St, Clearwater, FL 33755",5850000
"1301 S Hercules Ave APT 9, Clearwater, FL 33764",300000
"1112 Palm Bluff St, Clearwater, FL 33755",1348000
"15666 49th St N #1024, Clearwater, FL 33762",2700000
"1504 Harbor Dr, Clearwater, FL 33755",1080000
"30 Turner St APT 302, Clearwater, FL 33756",185000
"1008 La Salle St, Clearwater, FL 33755",197500
"2346 Druid Rd #905, Clearwater, FL 33764",709000
"2050 Loma Linda Way S, Clearwater, FL 33763",1489000
"2549 Highland Acres Dr, Clearwater, FL 33761",84900
"29250 Us Highway 19 N UNIT 309, Clearwater, FL 33761",974000
"1575 Greenlea Dr APT 9, Clearwater, FL 33755",811995
"2431 Franciscan Dr APT 49, Clearwater, FL 33763",777995
"219 N Missouri Ave, Clearwater, FL 33755",769000
"802 Druid Rd S, Clearwater, FL 33756",249990
"1006 Jeffords St, Clearwater, FL 33756",1499000
"701 S Madison Ave APT 514, Clearwater, FL 33756",599900
"1465 Eastfield Dr, Clearwater, FL 33764",1100000
"311 Eldridge St, Clearwater, FL 33755",475000
