DATE,FedRate,CommoditiesGlobalPrice,AllEmployeesConstructionFL,HomeownershipRate,VacantHousingInventory,MonthlyHouseSupply,NewCompletedHousing,NewUnderConstrHousing,RentalVacancyRate,Taxes,ManufacturedHomesShipments,UnemploymentRate,ShillerIndex
2005-09,3.62,104.2725494,653.1,68.93333333,15843,4.7,1922,1377,9.7,9433.666667,136,5,211.712927
2005-10,3.78,104.852212,658.7,69,15823,4.5,1962,1376,9.6,9438,194,5,217.8907022
2005-11,4,105.5506136,664.4,68.83333333,15960,5,1907,1395,9.566666667,9706.666667,210,5,222.5749478
2005-12,4.16,106.2490152,669.5,68.66666667,16097,4.9,1941,1405,9.533333333,9975.333333,183,4.9,226.0025868
2006-01,4.29,106.9474169,674.7,68.5,16234,5.3,2036,1424,9.5,10244,163,4.7,229.5242037
2006-02,4.49,110.5003157,680,68.56666667,16327,6.1,2048,1423,9.533333333,10428,146,4.8,232.2861791
2006-03,4.59,114.0532146,683.9,68.63333333,16420,5.9,2245,1423,9.566666667,10612,135,4.7,235.9778923
2006-04,4.79,117.6061135,687.5,68.7,16513,6.3,2071,1401,9.6,10796,126,4.7,237.948162
2006-05,4.94,118.0415345,689.3,68.8,16598.33333,6.2,1897,1409,9.7,10313.33333,122,4.6,239.0039853
2006-06,4.99,118.4769555,689,68.9,16683.66667,6.3,2050,1383,9.8,9830.666667,116,4.6,237.9645008
2006-07,5.24,118.9123765,687.1,69,16769,7.3,1934,1363,9.9,9348,110,4.7,236.9363495
2006-08,5.25,117.0298018,686.4,68.96666667,16810.66667,6.7,1877,1339,9.866666667,9391.333333,108,4.7,235.4671908
2006-09,5.25,115.1472271,683.4,68.93333333,16852.33333,6.7,2011,1317,9.833333333,9434.666667,102,4.5,234.1377665
2006-10,5.25,113.2646525,679.7,68.9,16894,7.3,1918,1283,9.8,9478,98,4.4,232.3664033
2006-11,5.25,114.0904964,674.7,68.73333333,17170.66667,6.6,1893,1265,9.9,9586,97,4.5,231.3147022
2006-12,5.24,114.9163403,669.3,68.56666667,17447.33333,6.5,1888,1247,10,9694,97,4.4,230.1074386
2007-01,5.25,115.7421842,663.7,68.4,17724,7.2,1822,1217,10.1,9802,97,4.6,229.7589916
2007-02,5.26,119.4150722,657.6,68.33333333,17665,7.9,1640,1206,9.9,9933.666667,97,4.5,230.4451766
2007-03,5.26,123.0879601,654.4,68.26666667,17606,7.9,1623,1192,9.7,10065.33333,98,4.4,229.5769199
2007-04,5.25,126.760848,641.1,68.2,17547,7.4,1539,1181,9.5,10197,98,4.5,226.6765172
2007-05,5.25,127.5015603,636.4,68.2,17714.33333,7.8,1536,1164,9.6,9517.333333,97,4.4,223.0847364
2007-06,5.25,128.2422726,632,68.2,17881.66667,8.2,1481,1161,9.7,8837.666667,98,4.6,219.4416034
2007-07,5.26,128.9829849,618.8,68.2,18049,8.3,1534,1144,9.8,8158,96,4.7,215.4661095
2007-08,5.02,134.2884205,611.9,68.06666667,18002.66667,9.2,1512,1123,9.733333333,8381.666667,94,4.6,211.1284123
2007-09,4.94,139.5938562,603.5,67.93333333,17956.33333,9.2,1356,1108,9.666666667,8605.333333,93,4.7,207.4925062
2007-10,4.76,144.8992919,591.9,67.8,17910,8.5,1405,1096,9.6,8829,94,4.7,204.7370286
2007-11,4.49,150.7324564,585.5,67.8,18154,9.4,1390,1080,9.766666667,8857.666667,93,4.7,202.0514618
2007-12,4.24,156.5656209,577.8,67.8,18398,9.6,1328,1059,9.933333333,8886.333333,92,5,199.5317688
2008-01,3.94,162.3987853,567,67.8,18642,9.3,1331,1041,10.1,8915,95,5,195.8610154
2008-02,2.98,171.298441,559.5,67.9,18661.66667,9.7,1274,1025,10.06666667,9061.333333,99,4.9,190.7862926
2008-03,2.61,180.1980968,549.8,68,18681.33333,10.5,1195,1014,10.03333333,9207.666667,93,5.1,185.1949711
2008-04,2.28,189.0977525,535.5,68.1,18701,10.3,1022,1009,10,9354,92,5,180.8908281
2008-05,1.98,187.155817,529.3,68.03333333,18684.33333,10.7,1142,991,9.966666667,8910,87,5.4,178.0676
2008-06,2,185.2138814,521.2,67.96666667,18667.66667,10.7,1142,975,9.933333333,8466,84,5.6,174.9350079
2008-07,2.01,183.2719459,510.8,67.9,18651,10.5,1087,955,9.9,8022,82,5.8,173.1429794
2008-08,2,161.4292935,502,67.76666667,18758.33333,11.3,1017,936,9.966666667,7957.666667,79,6.1,172.3191433
2008-09,1.81,139.586641,496.2,67.63333333,18865.66667,10.9,1160,904,10.03333333,7893.333333,75,6.1,168.7103313
2008-10,0.97,117.7439886,484.4,67.5,18973,11.6,1055,876,10.1,7829,69,6.5,164.020029
2008-11,0.39,112.7920522,473.6,67.43333333,19027.66667,11.4,1076,842,10.1,7850.666667,66,6.8,159.8723956
2008-12,0.16,107.8401159,462.5,67.36666667,19082.33333,11.2,1021,806,10.1,7872.333333,62,7.3,155.7495133
2009-01,0.15,102.8881795,444.2,67.3,19137,12.2,777,783,10.1,7894,57,7.8,150.5255616
2009-02,0.22,106.1286975,431.5,67.33333333,19008.66667,10.5,819,756,10.26666667,8005.333333,54,8.3,147.4915829
2009-03,0.18,109.3692154,421.2,67.36666667,18880.33333,11,839,717,10.43333333,8116.666667,50,8.7,144.1042153
2009-04,0.15,112.6097334,411.1,67.4,18752,10.7,846,677,10.6,8228,48,9,142.4340477
2009-05,0.18,115.1610468,403.6,67.46666667,18833.33333,9.3,818,650,10.76666667,7996.333333,48,9.4,140.9829776
2009-06,0.21,117.7123603,396.4,67.53333333,18914.66667,8.5,797,627,10.93333333,7764.666667,46,9.5,140.3911517
2009-07,0.16,120.2636738,390.2,67.6,18996,7.9,797,611,11.1,7533,50,9.5,140.8613448
2009-08,0.16,124.0768797,382.8,67.46666667,18999.33333,7.5,792,588,10.96666667,7536,48,9.6,141.4105453
2009-09,0.15,127.8900856,377.8,67.33333333,19002.66667,7.8,721,576,10.83333333,7539,48,9.8,140.3040347
2009-10,0.12,131.7032916,372.3,67.2,19006,7.4,746,554,10.7,7542,49,10,139.0579263
2009-11,0.12,134.5319314,367,67.16666667,19046,7.6,844,532,10.66666667,7656.666667,51,9.9,139.0290385
2009-12,0.12,137.3605712,363.1,67.13333333,19086,8,750,517,10.63333333,7771.333333,51,9.9,138.881743
2010-01,0.11,140.1892111,355.6,67.1,19126,8.1,689,501,10.6,7886,51,9.8,139.6634717
2010-02,0.13,141.1896795,353.9,67.03333333,19091.33333,8.3,670,493,10.6,8113.333333,53,9.8,138.9082151
2010-03,0.16,142.1901479,351.9,66.96666667,19056.66667,7.1,635,492,10.6,8340.666667,54,9.9,139.087129
2010-04,0.2,143.1906162,358.8,66.9,19022,6.2,737,488,10.6,8568,55,9.9,138.9882684
2010-05,0.2,142.7838515,354.7,66.9,18992.33333,9.3,702,476,10.5,8240,57,9.6,138.7860992
2010-06,0.18,142.3770867,352.8,66.9,18962.66667,8.3,894,447,10.4,7912,55,9.4,137.6953451
2010-07,0.18,141.9703219,357.3,66.9,18933,8.9,572,443,10.3,7584,52,9.4,136.0368854
2010-08,0.19,147.6825193,352.6,66.76666667,18805.66667,8.8,592,444,10,7676.666667,50,9.5,135.3786929
2010-09,0.19,153.3947167,347.8,66.63333333,18678.33333,7.6,632,439,9.7,7769.333333,47,9.5,134.3494845
2010-10,0.19,159.1069141,344.5,66.5,18551,8.2,605,436,9.4,7862,43,9.4,133.8401127
2010-11,0.19,165.8405267,341.1,66.46666667,18700,8.2,552,431,9.5,7992.666667,43,9.8,133.1790052
2010-12,0.18,172.5741392,338.4,66.43333333,18849,7,565,427,9.6,8123.333333,40,9.3,130.9930853
2011-01,0.17,179.3077518,336.1,66.4,18998,7.3,520,431,9.7,8254,44,9.1,130.5392477
2011-02,0.16,182.7106355,335,66.23333333,18946.33333,8.1,615,424,9.533333333,8482.666667,44,9,130.0453085
2011-03,0.14,186.1135193,333.7,66.06666667,18894.66667,7.2,591,420,9.366666667,8711.333333,46,9,129.0236809
2011-04,0.1,189.5164031,337.6,65.9,18843,6.7,549,417,9.2,8940,47,9.1,127.9784678
2011-05,0.09,187.979051,335.5,66.03333333,18829.66667,6.6,549,415,9.4,8536.666667,49,9,127.2875078
2011-06,0.09,186.4416989,333.6,66.16666667,18816.33333,6.6,579,416,9.6,8133.333333,50,9.1,127.4021305
2011-07,0.07,184.9043467,336.6,66.3,18803,6.7,634,417,9.8,7730,48,9,127.347986
2011-08,0.1,181.9902061,334.9,66.2,18665,6.5,614,414,9.666666667,7817,50,9,127.4379112
2011-09,0.08,179.0760654,336.9,66.1,18527,6.3,603,417,9.533333333,7904,56,9,125.5500505
2011-10,0.07,176.1619247,334.5,66,18389,6,566,422,9.4,7991,63,8.8,125.7888045
2011-11,0.08,178.3280297,335.5,65.8,18418,5.7,585,433,9.2,8218,65,8.6,125.2186099
2011-12,0.07,180.4941346,335.8,65.6,18447,5.3,610,434,9,8445,58,8.5,125.6222576
2012-01,0.08,182.6602395,336.3,65.4,18476,5.3,545,441,8.8,8672,59,8.3,125.6298939
2012-02,0.1,179.5132631,336.1,65.43333333,18490.33333,4.8,561,450,8.733333333,8899,58,8.3,126.2651874
2012-03,0.13,176.3662867,337.1,65.46666667,18504.66667,4.9,582,458,8.666666667,9126,57,8.2,127.0556043
2012-04,0.14,173.2193103,338,65.5,18519,4.9,671,463,8.6,9353,55,8.2,128.918919
2012-05,0.16,172.4790493,339,65.5,18395.66667,4.7,626,474,8.6,8998.333333,54,8.2,130.3709981
2012-06,0.16,171.7387884,340.4,65.5,18272.33333,4.8,625,486,8.6,8643.666667,54,8.2,131.6724391
2012-07,0.16,170.9985274,341.5,65.5,18149,4.6,676,490,8.6,8289,54,8.2,132.1942346
2012-08,0.13,170.9308231,343.6,65.46666667,18079,4.6,684,495,8.633333333,8374,54,8.1,132.9433882
2012-09,0.14,170.8631188,345.5,65.43333333,18009,4.5,652,511,8.666666667,8459,53,7.8,133.1621824
2012-10,0.16,170.7954145,347.4,65.4,17939,4.9,730,520,8.7,8544,53,7.8,133.322163
2012-11,0.16,171.9146717,349.9,65.26666667,18112.33333,4.6,668,534,8.666666667,8770.333333,54,7.7,133.8662616
2012-12,0.16,173.0339288,350.4,65.13333333,18285.66667,4.5,677,551,8.633333333,8996.666667,56,7.9,134.6777007
2013-01,0.14,174.1531859,352.1,65,18459,4,714,559,8.6,9223,57,8,137.0457089
2013-02,0.15,171.678669,353.8,65,18361,4.1,729,581,8.466666667,9480,59,7.7,138.6946031
2013-03,0.14,169.2041521,356.1,65,18263,4.2,816,596,8.333333333,9737,56,7.5,141.5016043
2013-04,0.15,166.7296352,359.6,65,18165,4.4,712,606,8.2,9994,60,7.6,143.1778402
2013-05,0.11,167.2263819,362.1,65.1,18169,4.6,708,620,8.233333333,9634,59,7.5,144.4408385
2013-06,0.09,167.7231286,363.3,65.2,18173,4.1,736,629,8.266666667,9274,61,7.5,146.483429
2013-07,0.09,168.2198753,367.3,65.3,18177,5.5,784,640,8.3,8914,58,7.3,149.1148291
2013-08,0.08,167.5014554,371.5,65.26666667,18147,5.5,765,654,8.266666667,9001.666667,62,7.2,152.0738488
2013-09,0.08,166.7830356,372.8,65.23333333,18117,5.4,776,661,8.233333333,9089.333333,65,7.2,152.9280312
2013-10,0.09,166.0646157,374.9,65.2,18087,4.9,801,670,8.2,9177,63,7.2,153.7760068
2013-11,0.08,167.0997931,377.9,65.06666667,18209,5,839,687,8.233333333,9158,62,6.9,154.9081771
2013-12,0.09,168.1349704,380.2,64.93333333,18331,5.2,778,707,8.266666667,9139,61,6.7,155.8857776
2014-01,0.07,169.1701478,381.7,64.8,18453,5.1,838,713,8.3,9120,57,6.6,157.2661749
2014-02,0.07,169.3171473,384.8,64.76666667,18375,5.3,876,714,8.033333333,9470.333333,61,6.7,156.8766139
2014-03,0.08,169.4641467,386.2,64.73333333,18297,5.6,893,726,7.766666667,9820.666667,62,6.7,156.177801
2014-04,0.09,169.6111462,390.3,64.7,18219,5.7,834,743,7.5,10171,63,6.2,157.3732596
2014-05,0.09,166.5047617,393.7,64.6,18202.66667,5.2,891,754,7.466666667,9780.333333,64,6.3,158.9547004
2014-06,0.1,163.3983773,395.8,64.5,18186.33333,5.7,800,771,7.433333333,9389.666667,63,6.1,159.9977897
2014-07,0.09,160.2919928,399.2,64.4,18170,6.2,839,790,7.4,8999,68,6.2,160.2716699
2014-08,0.09,152.6677341,402.2,64.26666667,17765.33333,5.4,908,793,7.266666667,9114.333333,67,6.1,160.8095831
2014-09,0.09,145.0434754,404.2,64.13333333,17360.66667,5.4,975,797,7.133333333,9229.666667,67,5.9,161.5924003
2014-10,0.09,137.4192168,408.4,64,16956,5.3,920,806,7,9345,67,5.7,163.2682772
2014-11,0.09,129.9890116,409.4,63.9,17138,5.7,863,814,7.033333333,9428,66,5.8,165.1761635
2014-12,0.12,122.5588065,411.7,63.8,17320,5.1,955,826,7.066666667,9511,66,5.6,165.554106
2015-01,0.11,115.1286013,415.1,63.7,17502,4.8,954,830,7.1,9594,65,5.7,165.871826
2015-02,0.11,115.6455964,417.3,63.6,17461,4.5,863,830,7,9873.333333,65,5.5,166.8452788
2015-03,0.11,116.1625914,419.8,63.5,17420,5.1,781,843,6.9,10152.66667,67,5.4,168.1983231
2015-04,0.12,116.6795865,423.3,63.4,17379,4.9,1001,868,6.8,10432,67,5.4,168.6818866
2015-05,0.12,112.7448893,426,63.5,17422.66667,5,1012,878,6.966666667,9976,69,5.6,168.9143373
2015-06,0.13,108.8101921,429.2,63.6,17466.33333,5.4,962,896,7.133333333,9520,68,5.3,168.9453417
2015-07,0.13,104.8754949,432.6,63.7,17510,5.2,988,908,7.3,9064,74,5.2,169.9090237
2015-08,0.14,102.0611208,435.4,63.73333333,17436,5,974,921,7.2,9153,74,5.1,171.0412878
2015-09,0.14,99.24674661,438.1,63.76666667,17362,5.9,1040,939,7.1,9242,72,5,172.304629
2015-10,0.12,96.43237245,447.7,63.8,17288,5.6,985,943,7,9331,74,5,173.7102827
2015-11,0.12,93.87732735,450.6,63.7,17444.66667,5.5,1000,962,7,9560,75,5.1,174.8973794
2015-12,0.24,91.32228224,453.9,63.6,17601.33333,5.1,1023,970,7,9789,76,5,176.6767047
2016-01,0.34,88.76723713,457.3,63.5,17758,5.6,1056,968,7,10018,78,4.8,177.7912475
2016-02,0.38,92.57257607,460.9,63.3,17594.66667,5.5,1037,982,6.9,10227.33333,77,4.9,179.3030016
2016-03,0.36,96.37791502,463.4,63.1,17431.33333,5.5,1003,987,6.8,10436.66667,79,5,180.2360612
2016-04,0.37,100.183254,469.1,62.9,17268,5,945,998,6.7,10646,79,5.1,181.273017
2016-05,0.37,101.1766574,470.5,63.1,17232,5.1,1000,1010,6.733333333,10395.66667,79,4.8,181.906548
2016-06,0.38,102.1700609,472.4,63.3,17196,5.3,1109,1016,6.766666667,10145.33333,80,4.9,182.5129086
2016-07,0.39,103.1634644,477.2,63.5,17160,4.5,1072,1033,6.8,9895,75,4.8,183.2362481
2016-08,0.4,104.7376578,479.4,63.56666667,17216,5,1054,1038,6.833333333,9878.666667,80,4.9,184.3270269
2016-09,0.4,106.3118511,484.1,63.63333333,17272,5.2,1035,1038,6.866666667,9862.333333,83,5,185.4852459
2016-10,0.4,107.8860445,486.8,63.7,17328,5.2,1070,1053,6.9,9846,84,4.9,187.2995772
2016-11,0.41,110.0518771,490.3,63.66666667,17346.66667,5.2,1244,1042,6.933333333,10047.33333,87,4.7,188.8172633
2016-12,0.54,112.2177096,493,63.63333333,17365.33333,5.4,1101,1057,6.966666667,10248.66667,94,4.7,191.2535094
2017-01,0.65,114.3835422,495.2,63.6,17384,5.3,1073,1064,7,10450,99,4.7,192.0606832
2017-02,0.66,112.4177745,498,63.63333333,17468.33333,5.2,1152,1071,7.1,10610.66667,93,4.6,192.1530866
2017-03,0.79,110.4520068,500.1,63.66666667,17552.66667,4.9,1162,1071,7.2,10771.33333,89,4.4,192.1250758
2017-04,0.9,108.4862391,501,63.7,17637,5.3,1066,1074,7.3,10932,89,4.4,193.1899221
2017-05,0.91,109.482229,503.9,63.76666667,17652.66667,5.2,1170,1070,7.366666667,10863.66667,89,4.4,194.8018266
2017-06,1.04,110.4782188,507,63.83333333,17668.33333,5.4,1238,1072,7.433333333,10795.33333,90,4.3,195.522279
2017-07,1.15,111.4742086,507.6,63.9,17684,6,1174,1075,7.5,10727,83,4.3,196.5633496
2017-08,1.16,114.2621306,510.4,64,17394,6.2,1100,1084,7.3,10867,91,4.4,197.2189722
2017-09,1.15,117.0500526,485,64.1,17104,5.5,1108,1093,7.1,11007,92,4.3,198.96774
2017-10,1.15,119.8379746,515,64.2,16814,5.5,1191,1101,6.9,11147,98,4.2,200.0197048
2017-11,1.16,122.4505687,517.5,64.2,16962,4.8,1180,1105,6.933333333,11090.66667,100,4.2,201.9511583
2017-12,1.3,125.0631627,520.5,64.2,17110,5.3,1203,1100,6.966666667,11034.33333,104,4.1,203.0316345
2018-01,1.41,127.6757567,524.6,64.2,17258,5.7,1204,1106,7,10978,103,4,204.6571335
2018-02,1.42,128.8265512,532.2,64.23333333,17192,5.5,1290,1111,6.933333333,11236.66667,101,4.1,205.5037086
2018-03,1.51,129.9773457,534.9,64.26666667,17126,5.2,1189,1121,6.866666667,11495.33333,100,4,206.3600352
2018-04,1.69,131.1281403,537.5,64.3,17060,5.5,1213,1123,6.8,11754,99,4,206.9306588
2018-05,1.7,130.8273979,538.1,64.33333333,17113.66667,5.3,1263,1130,6.9,11424,98,3.8,207.7198873
2018-06,1.82,130.5266555,542.5,64.36666667,17167.33333,6.2,1216,1125,7,11094,97,4,209.1778656
2018-07,1.91,130.2259131,542.9,64.4,17221,6.3,1169,1125,7.1,10764,95,3.8,210.2079845
2018-08,1.91,128.0663479,547.1,64.53333333,16941.33333,6.6,1246,1130,6.933333333,10817.33333,97,3.8,211.3009429
2018-09,1.95,125.9067827,548.9,64.66666667,16661.66667,6.7,1174,1135,6.766666667,10870.66667,96,3.7,212.2942472
2018-10,2.19,123.7472175,552.5,64.8,16382,7.3,1116,1142,6.6,10924,93,3.8,212.6937326
2018-11,2.2,122.0536789,554.2,64.6,16526,6.5,1142,1144,6.733333333,11035,89,3.8,213.2235846
2018-12,2.27,120.3601403,556,64.4,16670,7.3,1052,1149,6.866666667,11146,87,3.9,213.5810298
2019-01,2.4,118.6666018,557.8,64.2,16814,6.6,1246,1154,7,11257,87,4,214.8471003
2019-02,2.4,119.0469805,558.9,64.16666667,16886.33333,6,1337,1142,6.933333333,11785.66667,90,3.8,216.4168269
2019-03,2.41,119.4273592,559.4,64.13333333,16958.66667,5.6,1316,1125,6.866666667,12314.33333,91,3.8,217.1503595
2019-04,2.42,119.807738,560.3,64.1,17031,5.8,1312,1122,6.8,12843,94,3.6,218.3270374
2019-05,2.39,118.1909291,562,64.33333333,17033.33333,6.5,1235,1131,6.8,12294,94,3.6,218.5254249
2019-06,2.38,116.5741203,563.4,64.56666667,17035.66667,5.6,1170,1143,6.8,11745,96,3.6,219.144639
2019-07,2.4,114.9573115,565,64.8,17038,6.2,1242,1143,6.8,11196,95,3.7,219.7927529
2019-08,2.13,115.5252429,568.3,64.9,16729.66667,5.8,1272,1151,6.666666667,11213,96,3.7,220.5704179
2019-09,2.04,116.0931744,568.7,65,16421.33333,5.5,1136,1160,6.533333333,11230,98,3.5,221.7051881
2019-10,1.83,116.6611059,571.5,65.1,16113,5.5,1279,1160,6.4,11247,99,3.6,222.9231387
2019-11,1.55,113.8003263,574.9,65.16666667,16064.33333,5.5,1252,1166,6.466666667,11409.33333,99,3.6,223.796063
2019-12,1.55,110.9395466,573.2,65.23333333,16015.66667,5.3,1308,1179,6.533333333,11571.66667,97,3.6,224.7245786
2020-01,1.55,108.078767,574.9,65.3,15967,5.1,1288,1196,6.6,11734,98,3.5,225.4304791
2020-02,1.58,102.6280104,577.4,66.16666667,15268.66667,5.3,1294,1216,6.3,11108.33333,104,3.5,227.0263416
2020-03,0.65,97.17725386,572.6,67.03333333,14570.33333,6.3,1267,1215,6,10482.66667,96,4.4,229.165052
2020-04,0.05,91.72649731,538.3,67.9,13872,6.6,1191,1194,5.7,9857,75,14.7,230.7360724
2020-05,0.05,96.73050433,558.1,67.73333333,13995.33333,5.3,1178,1179,5.933333333,10192.33333,82,13.2,231.4504652
2020-06,0.08,101.7345113,563.2,67.56666667,14118.66667,4.3,1243,1187,6.166666667,10527.66667,87,11,231.8326922
2020-07,0.09,106.7385184,559.1,67.4,14242,3.6,1340,1199,6.4,10863,94,10.2,232.8000241
2020-08,0.1,110.1919179,561,66.86666667,14639.33333,3.5,1216,1212,6.433333333,11106,95,8.4,235.6329178
2020-09,0.09,113.6453175,559,66.33333333,15036.66667,3.5,1426,1218,6.466666667,11349,96,7.9,238.22682
2020-10,0.09,117.098717,564.7,65.8,15434,3.5,1356,1228,6.5,11592,98,6.9,241.9104332
2020-11,0.09,124.6444898,563.4,65.73333333,15486,4,1244,1247,6.6,11768,101,6.7,245.0207171
2020-12,0.09,132.1902626,566.1,65.66666667,15538,3.8,1386,1264,6.7,11944,103,6.7,248.7755183
2021-01,0.09,139.7360354,568.3,65.6,15590,3.6,1328,1284,6.8,12120,105,6.4,252.5892642
2021-02,0.08,144.5389787,570.7,65.53333333,15606.33333,4.5,1347,1289,6.6,13069.66667,102,6.2,256.1923344
2021-03,0.07,149.3419221,573.2,65.46666667,15622.66667,4.2,1497,1307,6.4,14019.33333,108,6,260.7424479
2021-04,0.07,154.1448654,575.8,65.4,15639,4.8,1417,1324,6.2,14969,106,6,266.3127315
2021-05,0.06,158.6037822,575.2,65.4,15487.66667,5.4,1350,1339,6.066666667,14551,105,5.8,273.2801407
2021-06,0.08,163.0626991,573,65.4,15336.33333,6.1,1312,1371,5.933333333,14133,106,5.9,281.6809566
2021-07,0.1,167.5216159,576.7,65.4,15185,6.2,1380,1384,5.8,13715,104,5.4,289.6333301
2021-08,0.09,174.2547605,575,65.43333333,15115,6.8,1291,1408,5.733333333,13863.66667,105,5.2,296.8298816
2021-09,0.08,180.9879051,576.6,65.46666667,15045,6.3,1235,1434,5.666666667,14012.33333,106,4.7,304.1247146
2021-10,0.08,187.7210497,577.3,65.5,14975,7,1255,1464,5.6,14161,107,4.6,309.7133909
