zillow_addresses_stPete
"5725 80th St N UNIT 406, Saint Petersburg, FL 33709"
"0 Starfish Dr SE #34SS, St Petersburg, FL 33705"
"5750 80th St N UNIT D204, Saint Petersburg, FL 33709"
"850 13th Ave N, Saint Petersburg, FL 33701"
"7913 9th Ave S, Saint Petersburg, FL 33707"
"5251 43rd Ave N, Saint Petersburg, FL 33709"
"2701 34th St N #216, Saint Petersburg, FL 33713"
"106 Mystic Lake Ter N, Saint Petersburg, FL 33702"
"4125 Park St N #26, Saint Petersburg, FL 33709"
"5217 81st St N APT 17, Saint Petersburg, FL 33709"
"6025 28th St N, Saint Petersburg, FL 33714"
"1851 Almeria Way S, Saint Petersburg, FL 33712"
"5380 4th St N APT 203, Saint Petersburg, FL 33703"
"2901 46th Ave S, Saint Petersburg, FL 33712"
"6265 Sun Blvd APT 1204, Saint Petersburg, FL 33715"
"10263 Gandy Blvd N APT 501, Saint Petersburg, FL 33702"
"6713 Mount Pleasant Rd NE #29, Saint Petersburg, FL 33702"
"3269 4th Ave S, Saint Petersburg, FL 33712"
"1535 27th Ave N, Saint Petersburg, FL 33704"
"4335 10th Ave S, Saint Petersburg, FL 33711"
"8451 5th St N, Saint Petersburg, FL 33702"
"5200 28th St N #156, Saint Petersburg, FL 33714"
"541 26th St S, Saint Petersburg, FL 33712"
"4725 3rd Ave S, Saint Petersburg, FL 33711"
"2438 9th Ave S, Saint Petersburg, FL 33712"
"2065 28th Ave N, Saint Petersburg, FL 33713"
"1735 Montana Ave NE, Saint Petersburg, FL 33703"
"4037 9th Ave S, Saint Petersburg, FL 33711"
"(undisclosed Address), Saint Petersburg, FL 33702"
"1900 59th Ave N APT 319, Saint Petersburg, FL 33714"
"2312 8th Ave N, Saint Petersburg, FL 33713"
"1302 9th Ave N, Saint Petersburg, FL 33705"
"5265 Beach Dr SE UNIT 5265D, Saint Petersburg, FL 33705"
"2317 44th St S, Saint Petersburg, FL 33711"
"3063 2nd Ave N, Saint Petersburg, FL 33713"
"592 100th Ave N APT 102, Saint Petersburg, FL 33702"
"716 14th Ave NE, Saint Petersburg, FL 33701"
"3810 Dartmouth Ave N, Saint Petersburg, FL 33713"
"5861 42nd Ter N APT 1707, Kenneth City, FL 33709"
"610 Mount Oak Ave NE #734, Saint Petersburg, FL 33702"
"2836 40th Ave N, Saint Petersburg, FL 33714"
"3442 17th Ave S, Saint Petersburg, FL 33711"
"4125 Park St N #119, Saint Petersburg, FL 33709"
"6820 Mount Quincy Dr NE #359, Saint Petersburg, FL 33702"
"7170 Mount Bristol Dr NE UNIT 457, Saint Petersburg, FL 33702"
"10200 Gandy Blvd N APT 1229, Saint Petersburg, FL 33702"
"4481 Pompano Dr SE, Saint Petersburg, FL 33705"
"8522 10th St N APT B, Saint Petersburg, FL 33702"
"2011 58th Ave N APT 14, Saint Petersburg, FL 33714"
"261 Sunset Dr N, Saint Petersburg, FL 33710"
"5880 38th Ave N APT 202, Saint Petersburg, FL 33710"
"5521 80th St N UNIT 502, Saint Petersburg, FL 33709"
"2710 22nd Ave S, Saint Petersburg, FL 33712"
"4000 24th St N #823, Saint Petersburg, FL 33714"
"5151 4th St N #90A, Saint Petersburg, FL 33703"
"3301 58th Ave N LOT 102, Saint Petersburg, FL 33714"
"1400 Gandy Blvd N UNIT 1006, Saint Petersburg, FL 33702"
"1827 Maryland Ave NE, Saint Petersburg, FL 33703"
"2620 10th St S, Saint Petersburg, FL 33705"
"2630 13th Ave N, Saint Petersburg, FL 33713"
"7901 10th Ave S, Saint Petersburg, FL 33707"
"5519 25th Ave N, Saint Petersburg, FL 33710"
"5895 18th St N APT 19, Saint Petersburg, FL 33714"
"(undisclosed Address), Saint Petersburg, FL 33716"
"1215 10th St N, Saint Petersburg, FL 33705"
"5020 Brittany Dr S APT 215, Saint Petersburg, FL 33715"
"2619 15th Ave N, Saint Petersburg, FL 33713"
"28th Ave S, Saint Petersburg, FL 33705"
"4025 73rd St N, Saint Petersburg, FL 33709"
"740 52nd Ave N, Saint Petersburg, FL 33703"
"4130 18th Ave S, Saint Petersburg, FL 33711"
"5249 Venetian Blvd NE, Saint Petersburg, FL 33703"
"1410 38th Ave N, Saint Petersburg, FL 33704"
"5919 10th St N, Saint Petersburg, FL 33703"
"5775 Park St N APT 211, Saint Petersburg, FL 33709"
"9405 Treasure Ln NE, Saint Petersburg, FL 33702"
"103 5th Ave N, Saint Petersburg, FL 33701"
"125 78th Ave NE, Saint Petersburg, FL 33702"
"100 4th Ave S APT 424, Saint Petersburg, FL 33701"
"545 11th Ave N, Saint Petersburg, FL 33701"
"3345 57th Ave N, Saint Petersburg, FL 33714"
"4900 38th Way S APT 301, Saint Petersburg, FL 33711"
"4125 Park St N LOT 739, Saint Petersburg, FL 33709"
"4125 Park St N LOT 1A, Saint Petersburg, FL 33709"
"3539 13th Ave N, Saint Petersburg, FL 33713"
"701 Mirror Lake Dr N APT 220, Saint Petersburg, FL 33701"
"11402 3rd St N UNIT 3, Saint Petersburg, FL 33716"
"4125 Park St N #441, Saint Petersburg, FL 33709"
"4775 Xenia St N, Saint Petersburg, FL 33714"
"344 4th St S, Saint Petersburg, FL 33701"
"3733 6th St S, Saint Petersburg, FL 33705"
"5631 Venetian Blvd NE, Saint Petersburg, FL 33703"
"8199 Terrace Garden Dr N UNIT 209, Saint Petersburg, FL 33709"
"10200 Gandy Blvd N APT 1123, Saint Petersburg, FL 33702"
"11405 3rd St N UNIT 2, Saint Petersburg, FL 33716"
"5357 81st St N APT 19, Saint Petersburg, FL 33709"
"10265 Gandy Blvd N APT 1502, Saint Petersburg, FL 33702"
"2701 34th St N #501, Saint Petersburg, FL 33713"
"4900 Brittany Dr S APT 206, Saint Petersburg, FL 33715"
"6368 99th Way N APT 16C, Seminole, FL 33708"
"215 5th St N, Saint Petersburg, FL 33701"
"4810 54th Ave N, Saint Petersburg, FL 33714"
"2537 13th Ave N, Saint Petersburg, FL 33713"
"555 5th Ave NE #1302, Saint Petersburg, FL 33701"
"5200 28th St N #506, Saint Petersburg, FL 33714"
"4125 Park St N LOT 721, Saint Petersburg, FL 33709"
"3501 28th Ave S, Saint Petersburg, FL 33711"
"5660 80th St N UNIT C308, Saint Petersburg, FL 33709"
"5660 80th St N UNIT A308, Saint Petersburg, FL 33709"
"5620 Burlington Ave N, Saint Petersburg, FL 33710"
"7941 58th Ave N UNIT 303, Saint Petersburg, FL 33709"
"1921 58th Ave N APT 21, Saint Petersburg, FL 33714"
"Adirondack Plan, Shoreline"
"1400 Gandy Blvd N UNIT 703, Saint Petersburg, FL 33702"
"10263 Gandy Blvd N APT 2308, Saint Petersburg, FL 33702"
"2 BR 2.5 BA ; Residences 506-1906 Plan, Residences 400 Central"
"921 Yale St N, Saint Petersburg, FL 33713"
"1610 35th St N, Saint Petersburg, FL 33713"
"2600 1st Ave S, Saint Petersburg, FL 33712"
"4339 57th Ave N, Saint Petersburg, FL 33714"
"5150 10th Ave N APT 204, Saint Petersburg, FL 33710"
"7801 34th Ave N LOT 15, Saint Petersburg, FL 33710"
"2 BR 2.5 BA ; Residences 808-3908 Plan, Residences 400 Central"
"510 16th Ave S, Saint Petersburg, FL 33701"
"351 7th Ave N, Saint Petersburg, FL 33701"
"4219 Bayshore Blvd NE, Saint Petersburg, FL 33703"
"4945 Cobia Dr SE #4945, Saint Petersburg, FL 33705"
"925 Arlington Ave N, Saint Petersburg, FL 33705"
"5060 Rena St N, Saint Petersburg, FL 33709"
"4720 Emerson Ave S #1/2, Saint Petersburg, FL 33711"
"10979 Walnut St NE, Saint Petersburg, FL 33716"
"4608 46th St N, Saint Petersburg, FL 33714"
"3301 58th Ave N #110, Saint Petersburg, FL 33714"
"3320 70th Ave N, Saint Petersburg, FL 33702"
"5925 Terrace Park Dr N UNIT 103, Saint Petersburg, FL 33709"
"10200 Gandy Blvd N APT 1127, Saint Petersburg, FL 33702"
"7801 34th Ave N LOT 65, Saint Petersburg, FL 33710"
"0 Starfish Dr SE #0, Saint Petersburg, FL 33705"
"154 Americana Ct NE #221, Saint Petersburg, FL 33702"
"4125 Park St N LOT 948, Saint Petersburg, FL 33709"
"5026 Coquina Key Dr SE #5026, Saint Petersburg, FL 33705"
"264 115th Ave N APT 1, Saint Petersburg, FL 33716"
"2508 56th Ave N, Saint Petersburg, FL 33714"
"4000 11th St N, Saint Petersburg, FL 33703"
"2800 Central Ave #203, Saint Petersburg, FL 33712"
"935 13th Ave S, Saint Petersburg, FL 33705"
"1018 7th Ave S, Saint Petersburg, FL 33705"
"1298 Cordova Blvd NE, Saint Petersburg, FL 33704"
"4776 66th Ln N #12, Saint Petersburg, FL 33709"
"424 8th St S #505, Saint Petersburg, FL 33701"
"2715 5th St S, Saint Petersburg, FL 33705"
"2560 62nd Ave N #322, Saint Petersburg, FL 33702"
"8186 Terrace Garden Dr N UNIT 609, Saint Petersburg, FL 33709"
"176 4th Ave NE #601, Saint Petersburg, FL 33701"
"2560 62nd Ave N LOT 418, Saint Petersburg, FL 33702"
"2517 50th Ave N #11, Saint Petersburg, FL 33714"
"4727 31st St N, Saint Petersburg, FL 33714"
"777 3rd Ave N #1603, Saint Petersburg, FL 33701"
"(undisclosed Address), Saint Petersburg, FL 33709"
"6140 Sun Blvd #7, Saint Petersburg, FL 33715"
"7801 34th Ave N LOT 75, Saint Petersburg, FL 33710"
"176 4th Ave NE #901, Saint Petersburg, FL 33701"
"2 Brightwaters Cir NE, Saint Petersburg, FL 33704"
"4792 Coquina Key Dr SE #4792, Saint Petersburg, FL 33705"
"555 5th Ave NE SUITE 414, Saint Petersburg, FL 33701"
"3248 Carlisle Ave S, Saint Petersburg, FL 33712"
"0 26th Ave S, Saint Petersburg, FL 33711"
"2 BR 2.5 BA ; Residences 802-3902 Plan, Residences 400 Central"
"2055 28th Ave N, Saint Petersburg, FL 33713"
"156 Americana Ct NE #226, Saint Petersburg, FL 33702"
"4718 Paradise Way S, Saint Petersburg, FL 33705"
"631 Mount Madison Ave NE #654, Saint Petersburg, FL 33702"
"2800 Central Ave PENTHOUSE 2, Saint Petersburg, FL 33712"
"777 3rd Ave N #1605, Saint Petersburg, FL 33701"
"1162 37th Ave N, Saint Petersburg, FL 33704"
"777 3rd Ave N #1604, Saint Petersburg, FL 33701"
"313 Mount Piney Ave NE #296, Saint Petersburg, FL 33702"
"777 3rd Ave N #1608, Saint Petersburg, FL 33701"
"7214 Mount Fairfield Rd NE #527, Saint Petersburg, FL 33702"
"2764 Grove Park Ave N, Saint Petersburg, FL 33714"
"4900 58th Ave S, Saint Petersburg, FL 33715"
"7265 15th St N, Saint Petersburg, FL 33702"
"4125 Park St N #213, Saint Petersburg, FL 33709"
"3434 6th Ave N #E & W, Saint Petersburg, FL 33713"
"3BR 3 BA ; Residences 2005 - 3905 Plan, Residences 400 Central"
"201 5th St S, Saint Petersburg, FL 33701"
"3320 4th Ave S, Saint Petersburg, FL 33712"
"3009 Dartmouth Ave N, Saint Petersburg, FL 33713"
"7801 34th Ave N LOT 30, St Petersburg, FL 33710"
"424 8th St S #603, Saint Petersburg, FL 33701"
"400 Central Ave #4202, Saint Petersburg, FL 33701"
"3830 Shore Acres Blvd NE, Saint Petersburg, FL 33703"
"5685 54th Ave N, Kenneth City, FL 33709"
"126 4th Ave NE #1402, Saint Petersburg, FL 33701"
"6837 Americana Dr NE #103, Saint Petersburg, FL 33702"
"916 25th Ave N, Saint Petersburg, FL 33704"
"Upton Ct S, Saint Petersburg, FL 33712"
"925 13th Ave S, Saint Petersburg, FL 33705"
"2045 27th Ave N, Saint Petersburg, FL 33713"
"424 8th St S #304, Saint Petersburg, FL 33701"
"400 Central Ave #1206, Saint Petersburg, FL 33701"
"545 4th Ave S #7, Saint Petersburg, FL 33701"
"400 Central Ave #1408, Saint Petersburg, FL 33701"
"3205 18th St N, Saint Petersburg, FL 33713"
"4710 21st St N, Saint Petersburg, FL 33714"
"740 21st St S, Saint Petersburg, FL 33712"
"718 4th Ave N, Saint Petersburg, FL 33701"
"7th Ave S, Saint Petersburg, FL 33712"
"3119 Oakley Ave S, Saint Petersburg, FL 33712"
"17 Franklin Ct S UNIT B, St Petersburg, FL 33711"
"Dawson Ave NE, Saint Petersburg, FL 33703"
"648 58th Ave NE, Saint Petersburg, FL 33703"
"1717 Massachusetts Ave NE, Saint Petersburg, FL 33703"
"(undisclosed Address), Saint Petersburg, FL 33713"
"126 4th Ave NE #1601, Saint Petersburg, FL 33701"
"22 Franklin Ct S #C, Saint Petersburg, FL 33711"
"2 BR 2.5 BA ; Residences 809-3909 Plan, Residences 400 Central"
"2010 Seminole Blvd S, Saint Petersburg, FL 33705"
"57XX 54th Ave N, Saint Petersburg, FL 33709"
"44 Bayview Ct S #A, St Petersburg, FL 33711"
"126 4th Ave NE #701, Saint Petersburg, FL 33701"
"000 26th Ave S, Saint Petersburg, FL 33711"
"5327 38th Ave N, Saint Petersburg, FL 33710"
"49th St S, Saint Petersburg, FL 33707"
"400 Central Ave #3709, Saint Petersburg, FL 33701"
"3089 15th Ave S, Saint Petersburg, FL 33712"
"630 4th Ave S #4, Saint Petersburg, FL 33701"
"7630 Paradise Pointe Cir S, St Petersburg, FL 33711"
"30th St N, Saint Petersburg, FL 33713"
"16th St S, Saint Petersburg, FL 33705"
"630 4th Ave S #3, Saint Petersburg, FL 33701"
"400 Central Ave #3002, Saint Petersburg, FL 33701"
"355 Brightwaters Blvd NE, Saint Petersburg, FL 33704"
"400 Central Ave #3403, Saint Petersburg, FL 33701"
"424 8th St S #302, Saint Petersburg, FL 33701"
"519 3rd Ave S, St Petersburg, FL 33701"
"3190 69th Ave N, Saint Petersburg, FL 33702"
"630 4th Ave S #2, Saint Petersburg, FL 33701"
"123/125 Bay Point Dr NE, Saint Petersburg, FL 33704"
"3091 15th Ave S, Saint Petersburg, FL 33712"
"400 Central Ave #2205, Saint Petersburg, FL 33701"
"3 BR 3 BA ; Residences 2003-3903 Plan, Residences 400 Central"
"5201 66th St N, St Petersburg, FL 33709"
"118 66th St N, Saint Petersburg, FL 33710"
"22nd Ave S, Saint Petersburg, FL 33705"
"34th St S, Saint Petersburg, FL 33711"
"3430 19th Ave S, Saint Petersburg, FL 33711"
"2701 20th St S, Saint Petersburg, FL 33712"
